     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE
    3596   2015-05-15  13:39:28        00:24   84.5    1.9     17076     83552
    3596   2015-05-15  13:39:29        00:25   84.9    1.9     17076     83552
    3596   2015-05-15  13:39:31        00:26   85.1    1.9     17076     83552
    3596   2015-05-15  13:39:32        00:27   85.4    1.9     17076     83556
    3596   2015-05-15  13:39:33        00:28   85.7    1.9     17076     83552
    3596   2015-05-15  13:39:34        00:29   86.0    1.9     17076     83552
    3596   2015-05-15  13:39:35        00:30   86.2    1.9     17076     83552
    3596   2015-05-15  13:39:36        00:31   86.4    1.9     17076     83552
    3596   2015-05-15  13:39:37        00:33   84.0    1.9     17076     83552
    3596   2015-05-15  13:39:38        00:34   84.2    1.9     17076     83552
    3596   2015-05-15  13:39:39        00:35   84.4    1.9     17076     83552
    3596   2015-05-15  13:39:40        00:36   84.7    1.9     17076     83552
    3596   2015-05-15  13:39:41        00:37   84.9    1.9     17076     83552
    3596   2015-05-15  13:39:42        00:38   85.1    1.9     17076     83552
    3596   2015-05-15  13:39:43        00:39   85.4    1.9     17076     83556
    3596   2015-05-15  13:39:44        00:40   85.5    1.9     17076     83552
    3596   2015-05-15  13:39:45        00:41   85.7    1.9     17076     83552
    3596   2015-05-15  13:39:47        00:42   85.9    1.9     17076     83552
    3596   2015-05-15  13:39:48        00:43   86.1    1.9     17076     83552
    3596   2015-05-15  13:39:49        00:44   86.2    1.9     17076     83552
    3596   2015-05-15  13:39:50        00:45   86.3    1.9     17076     83552
    3596   2015-05-15  13:39:51        00:46   86.4    1.9     17076     83552
    3596   2015-05-15  13:39:52        00:48   84.7    1.9     17448     84652
    3596   2015-05-15  13:39:53        00:49   84.9    1.9     17448     84652
    3596   2015-05-15  13:39:54        00:50   85.1    1.9     17452     84656
    3596   2015-05-15  13:39:55        00:51   85.2    1.9     17452     84652
    3596   2015-05-15  13:39:56        00:52   85.4    1.9     17452     84652
    3596   2015-05-15  13:39:57        00:53   85.5    1.9     17452     84652
    3596   2015-05-15  13:39:58        00:54   85.7    1.9     17452     84652
    3596   2015-05-15  13:39:59        00:55   85.8    1.9     17452     84652
    3596   2015-05-15  13:40:00        00:56   86.0    1.9     17452     84652
    3596   2015-05-15  13:40:01        00:57   86.1    1.9     17452     84652
    3596   2015-05-15  13:40:03        00:58   86.2    1.9     17452     84652
    3596   2015-05-15  13:40:04        00:59   86.3    1.9     17452     84652
    3596   2015-05-15  13:40:05        01:00   86.5    1.9     17452     84652
    3596   2015-05-15  13:40:06        01:01   86.6    1.9     17452     84652
    3596   2015-05-15  13:40:07        01:02   86.7    1.9     17452     84652
    3596   2015-05-15  13:40:08        01:04   85.4    1.9     17452     84652
    3596   2015-05-15  13:40:09        01:05   85.5    1.9     17452     84656
    3596   2015-05-15  13:40:10        01:06   85.6    1.9     17452     84652
    3596   2015-05-15  13:40:11        01:07   85.7    1.9     17452     84652
    3596   2015-05-15  13:40:12        01:08   85.8    1.9     17452     84652
    3596   2015-05-15  13:40:13        01:09   85.9    1.9     17452     84652
    3596   2015-05-15  13:40:14        01:10   86.0    1.9     17452     84652
    3596   2015-05-15  13:40:15        01:11   86.1    1.9     17452     84652
    3596   2015-05-15  13:40:16        01:12   86.2    1.9     17452     84652
    3596   2015-05-15  13:40:18        01:13   86.3    1.9     17452     84652
    3596   2015-05-15  13:40:19        01:14   86.4    1.9     17452     84652
    3596   2015-05-15  13:40:20        01:15   86.5    1.9     17452     84652
    3596   2015-05-15  13:40:21        01:16   86.6    1.9     17452     84652
    3596   2015-05-15  13:40:22        01:17   86.7    1.9     17452     84652
    3596   2015-05-15  13:40:23        01:18   86.7    1.9     17452     84652
    3596   2015-05-15  13:40:24        01:20   85.7    1.9     17452     84652
    3596   2015-05-15  13:40:25        01:21   85.8    1.9     17452     84652
    3596   2015-05-15  13:40:26        01:22   85.9    1.9     17452     84652
    3596   2015-05-15  13:40:27        01:23   86.0    1.9     17452     84652
    3596   2015-05-15  13:40:28        01:24   86.1    1.9     17452     84652
    3596   2015-05-15  13:40:29        01:25   86.1    1.9     17452     84652
    3596   2015-05-15  13:40:30        01:26   86.2    1.9     17452     84652
    3596   2015-05-15  13:40:31        01:27   86.3    1.9     17452     84652
    3596   2015-05-15  13:40:32        01:28   86.4    1.9     17452     84656
    3596   2015-05-15  13:40:34        01:29   86.4    1.9     17452     84652
    3596   2015-05-15  13:40:35        01:30   86.5    1.9     17452     84652
    3596   2015-05-15  13:40:36        01:31   86.6    1.9     17452     84652
    3596   2015-05-15  13:40:37        01:32   86.6    1.9     17452     84652
    3596   2015-05-15  13:40:38        01:33   86.7    1.9     17452     84652
    3596   2015-05-15  13:40:39        01:34   86.8    1.9     17452     84652
    3596   2015-05-15  13:40:40        01:36   85.9    1.9     17452     84652
    3596   2015-05-15  13:40:41        01:37   86.0    1.9     17452     84652
    3596   2015-05-15  13:40:42        01:38   86.1    1.9     17452     84656
    3596   2015-05-15  13:40:43        01:39   86.1    1.9     17452     84652
    3596   2015-05-15  13:40:44        01:40   86.2    1.9     17452     84652
    3596   2015-05-15  13:40:45        01:41   86.2    1.9     17452     84652
    3596   2015-05-15  13:40:46        01:42   86.3    1.9     17452     84652
    3596   2015-05-15  13:40:47        01:43   86.0    0.0         0         0
