     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE
    3945   2015-05-15  13:45:45        02:18   96.3    2.1     19240     89224
    3945   2015-05-15  13:45:46        02:19   96.3    2.1     19240     89220
    3945   2015-05-15  13:45:47        02:21   95.7    2.1     19240     89220
    3945   2015-05-15  13:45:48        02:22   95.7    2.1     19240     89220
    3945   2015-05-15  13:45:49        02:23   95.8    2.1     19240     89220
    3945   2015-05-15  13:45:50        02:24   95.8    2.1     19240     89220
    3945   2015-05-15  13:45:51        02:25   95.9    2.1     19240     89220
    3945   2015-05-15  13:45:52        02:26   95.9    2.1     19240     89220
    3945   2015-05-15  13:45:53        02:27   96.0    2.1     19240     89220
    3945   2015-05-15  13:45:54        02:28   96.0    2.1     19240     89220
    3945   2015-05-15  13:45:55        02:29   96.1    2.1     19240     89220
    3945   2015-05-15  13:45:57        02:30   96.1    2.1     19240     89220
    3945   2015-05-15  13:45:58        02:31   96.2    2.1     19240     89220
    3945   2015-05-15  13:45:59        02:32   96.2    2.1     19240     89220
    3945   2015-05-15  13:46:00        02:33   96.2    2.1     19240     89220
    3945   2015-05-15  13:46:01        02:34   96.3    2.1     19240     89220
    3945   2015-05-15  13:46:02        02:35   96.3    2.1     19240     89220
    3945   2015-05-15  13:46:03        02:37   95.7    2.1     19240     89220
    3945   2015-05-15  13:46:04        02:38   95.8    2.1     19240     89220
    3945   2015-05-15  13:46:05        02:39   95.8    2.1     19240     89220
    3945   2015-05-15  13:46:06        02:40   95.9    2.1     19240     89220
    3945   2015-05-15  13:46:07        02:41   95.9    2.1     19240     89220
    3945   2015-05-15  13:46:08        02:42   96.0    2.1     19240     89220
    3945   2015-05-15  13:46:09        02:43   96.0    2.1     19240     89220
    3945   2015-05-15  13:46:10        02:44   96.1    2.1     19240     89220
    3945   2015-05-15  13:46:11        02:45   96.1    2.1     19240     89220
    3945   2015-05-15  13:46:13        02:46   96.1    2.1     19240     89220
    3945   2015-05-15  13:46:14        02:47   96.2    2.1     19240     89220
    3945   2015-05-15  13:46:15        02:48   96.2    2.1     19240     89220
    3945   2015-05-15  13:46:16        02:49   96.3    2.1     19240     89220
    3945   2015-05-15  13:46:17        02:50   96.3    2.1     19240     89220
    3945   2015-05-15  13:46:18        02:51   96.3    2.1     19240     89220
    3945   2015-05-15  13:46:19        02:53   95.8    2.1     19240     89220
    3945   2015-05-15  13:46:20        02:54   95.9    2.1     19240     89220
    3945   2015-05-15  13:46:21        02:55   95.9    2.1     19240     89220
    3945   2015-05-15  13:46:22        02:56   96.0    2.1     19240     89220
    3945   2015-05-15  13:46:23        02:57   96.0    2.1     19240     89220
    3945   2015-05-15  13:46:24        02:58   96.0    2.1     19240     89220
    3945   2015-05-15  13:46:25        02:59   96.1    2.1     19240     89220
    3945   2015-05-15  13:46:26        03:00   96.1    2.1     19240     89220
    3945   2015-05-15  13:46:27        03:01   96.1    2.1     19240     89220
    3945   2015-05-15  13:46:29        03:02   96.2    2.1     19240     89220
    3945   2015-05-15  13:46:30        03:03   96.2    2.1     19240     89220
    3945   2015-05-15  13:46:31        03:04   96.3    2.1     19240     89220
    3945   2015-05-15  13:46:32        03:05   96.3    2.1     19240     89220
    3945   2015-05-15  13:46:33        03:06   96.3    2.1     19240     89220
    3945   2015-05-15  13:46:34        03:07   96.4    2.1     19240     89220
    3945   2015-05-15  13:46:35        03:09   95.9    2.1     19240     89220
    3945   2015-05-15  13:46:36        03:10   95.9    2.1     19240     89220
    3945   2015-05-15  13:46:37        03:11   96.0    2.1     19240     89220
    3945   2015-05-15  13:46:38        03:12   96.0    2.1     19240     89220
    3945   2015-05-15  13:46:39        03:13   96.0    2.1     19240     89220
    3945   2015-05-15  13:46:40        03:14   96.1    2.1     19240     89220
    3945   2015-05-15  13:46:41        03:15   96.0    0.0         0         0
