     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE
    4749   2015-05-15  13:58:16        00:14   47.7    1.8     16552     84448
    4749   2015-05-15  13:58:17        00:15   47.9    1.8     16552     84448
    4749   2015-05-15  13:58:18        00:16   48.0    1.8     16552     84448
    4749   2015-05-15  13:58:19        00:17   48.1    1.8     16552     84448
    4749   2015-05-15  13:58:20        00:18   48.2    1.8     16552     84452
    4749   2015-05-15  13:58:21        00:20   45.9    1.8     16552     84448
    4749   2015-05-15  13:58:22        00:21   46.0    1.8     16552     84448
    4749   2015-05-15  13:58:23        00:22   46.1    1.8     16552     84448
    4749   2015-05-15  13:58:24        00:23   46.3    1.8     16552     84448
    4749   2015-05-15  13:58:25        00:24   46.8    1.8     16552     84448
    4749   2015-05-15  13:58:26        00:25   46.9    1.8     16552     84448
    4749   2015-05-15  13:58:27        00:26   47.0    1.8     16552     84448
    4749   2015-05-15  13:58:29        00:27   47.0    1.8     16552     84448
    4749   2015-05-15  13:58:30        00:28   47.1    1.8     16552     84448
    4749   2015-05-15  13:58:31        00:29   47.4    1.8     16552     84448
    4749   2015-05-15  13:58:32        00:30   47.6    1.8     16552     84448
    4749   2015-05-15  13:58:33        00:31   48.7    1.8     16552     84448
    4749   2015-05-15  13:58:34        00:33   48.3    1.8     16552     84448
    4749   2015-05-15  13:58:35        00:34   48.8    1.8     16552     84448
    4749   2015-05-15  13:58:36        00:35   49.4    1.8     16552     84448
    4749   2015-05-15  13:58:37        00:36   49.9    1.8     16552     84448
    4749   2015-05-15  13:58:38        00:37   50.4    1.8     16552     84448
    4749   2015-05-15  13:58:39        00:38   51.0    1.8     16552     84448
    4749   2015-05-15  13:58:40        00:39   51.5    1.8     16552     84448
    4749   2015-05-15  13:58:41        00:40   52.1    1.8     16552     84448
    4749   2015-05-15  13:58:42        00:41   52.7    1.8     16552     84452
    4749   2015-05-15  13:58:44        00:42   53.2    1.8     16552     84448
    4749   2015-05-15  13:58:45        00:43   53.7    1.8     16552     84448
    4749   2015-05-15  13:58:46        00:44   53.8    1.8     16552     84448
    4749   2015-05-15  13:58:47        00:45   53.7    1.8     16552     84452
    4749   2015-05-15  13:58:48        00:46   53.6    1.8     16552     84448
    4749   2015-05-15  13:58:49        00:47   53.5    1.8     16552     84448
